Month,AC_Energy_kWh
Jan,119250.83367082872
Feb,119655.31170406826
Mar,155447.89222467397
Apr,148511.91656252072
May,168388.5999973224
Jun,131621.23511365257
Jul,146972.166849867
Aug,160754.7016171675
Sep,129103.00412257566
Oct,121012.89771429877
Nov,106723.54225069194
Dec,105361.36723621968
