お客様名,NextEnergy
地点名,TSU
パワコン総数,9
総定格出力,900
パネル総枚数,1440
パネル総出力,900.000
総増加積載率,100
年間発電量,63243,71756,100511,108923,110747,98776,111849,111981,90597,74960,65200,60409,1068952
ID,PCS名,定格出力,システム効率,力率
1,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
ID,PCS名,定格出力,システム効率,力率
2,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
ID,PCS名,定格出力,システム効率,力率
3,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
ID,PCS名,定格出力,システム効率,力率
4,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
ID,PCS名,定格出力,システム効率,力率
5,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
ID,PCS名,定格出力,システム効率,力率
6,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
ID,PCS名,定格出力,システム効率,力率
7,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
ID,PCS名,定格出力,システム効率,力率
8,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
ID,PCS名,定格出力,システム効率,力率
9,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,160,0,-5,0
