お客様名,NextEnergy
地点名,TSU
パワコン総数,9
総定格出力,900
パネル総枚数,1936
パネル総出力,1210.000
総増加積載率,134
年間発電量,109276,117222,155143,158527,155873,136516,155199,159302,136574,118300,111741,108486,1622159
ID,PCS名,定格出力,システム効率,力率
1,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,224,20,-5,0
ID,PCS名,定格出力,システム効率,力率
2,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,224,20,-5,0
ID,PCS名,定格出力,システム効率,力率
3,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,224,20,-5,0
ID,PCS名,定格出力,システム効率,力率
4,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,224,20,-5,0
ID,PCS名,定格出力,システム効率,力率
5,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,208,20,-5,0
ID,PCS名,定格出力,システム効率,力率
6,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,208,20,-5,0
ID,PCS名,定格出力,システム効率,力率
7,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,208,20,-5,0
ID,PCS名,定格出力,システム効率,力率
8,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,208,20,-5,0
ID,PCS名,定格出力,システム効率,力率
9,SunGrow SG100CX-JP,100,95,1
MPPT,パネル名,枚数,設置角度,方位角,裏面
1,NER132M625E-NGD,208,20,-5,0
